week,day_id,day,Activity Level,Acceleration
1,1,Friday,activity_1,88.37777778
1,1,Friday,activity_2,82.24444444
1,1,Friday,activity_3,64.44444444
1,1,Friday,activity_4,70.04444444
1,1,Friday,activity_5,75.04444444
1,1,Friday,activity_6,66.26666667
1,1,Friday,activity_7,53.75555556
1,1,Friday,activity_8,47.84444444
1,1,Friday,activity_9,55.46666667
1,1,Friday,activity_10,42.95555556
1,1,Friday,activity_11,46.75555556
1,1,Friday,activity_12,25.48888889
1,1,Friday,activity_13,18.97777778
1,1,Friday,activity_14,31.11111111
1,1,Friday,activity_15,22.86666667
1,1,Friday,activity_16,24.8
1,1,Friday,activity_17,51.02222222
1,1,Friday,activity_18,35.48888889
1,1,Friday,activity_19,40.97777778
1,1,Friday,activity_20,59.02222222
1,1,Friday,activity_21,25.17777778
1,1,Friday,activity_22,19.42222222
1,1,Friday,activity_23,44.71111111
1,1,Friday,activity_24,17.13333333
1,1,Friday,activity_25,43.88888889
1,1,Friday,activity_26,47.46666667
1,1,Friday,activity_27,46.11111111
1,1,Friday,activity_28,34.64444444
1,1,Friday,activity_29,40.28888889
1,1,Friday,activity_30,46.46666667
1,1,Friday,activity_31,53.2
1,1,Friday,activity_32,23.75555556
1,1,Friday,activity_33,35.31111111
1,1,Friday,activity_34,30.66666667
1,1,Friday,activity_35,40.13333333
1,1,Friday,activity_36,25.33333333
1,1,Friday,activity_37,8.888888889
1,1,Friday,activity_38,14.71111111
1,1,Friday,activity_39,18.53333333
1,1,Friday,activity_40,40.68888889
1,1,Friday,activity_41,20
1,1,Friday,activity_42,37.11111111
1,1,Friday,activity_43,22.6
1,1,Friday,activity_44,22.77777778
1,1,Friday,activity_45,16.08888889
1,1,Friday,activity_46,29.77777778
1,1,Friday,activity_47,39.44444444
1,1,Friday,activity_48,29.66666667
1,1,Friday,activity_49,54.75555556
1,1,Friday,activity_50,48.26666667
1,1,Friday,activity_51,66.06666667
1,1,Friday,activity_52,65.24444444
1,1,Friday,activity_53,35.68888889
1,1,Friday,activity_54,31.71111111
1,1,Friday,activity_55,26.02222222
1,1,Friday,activity_56,36.62222222
1,1,Friday,activity_57,25.15555556
1,1,Friday,activity_58,27.93333333
1,1,Friday,activity_59,58.02222222
1,1,Friday,activity_60,44.24444444
1,1,Friday,activity_61,46.77777778
1,1,Friday,activity_62,41.73333333
1,1,Friday,activity_63,56.95555556
1,1,Friday,activity_64,51.15555556
1,1,Friday,activity_65,63.53333333
1,1,Friday,activity_66,45.42222222
1,1,Friday,activity_67,44.88888889
1,1,Friday,activity_68,21.71111111
1,1,Friday,activity_69,11.62222222
1,1,Friday,activity_70,37.4
1,1,Friday,activity_71,36.08888889
1,1,Friday,activity_72,25.8
1,1,Friday,activity_73,15.11111111
1,1,Friday,activity_74,38.48888889
1,1,Friday,activity_75,46.66666667
1,1,Friday,activity_76,50.11111111
1,1,Friday,activity_77,52.46666667
1,1,Friday,activity_78,67.93333333
1,1,Friday,activity_79,71.35555556
1,1,Friday,activity_80,61.08888889
1,1,Friday,activity_81,35.35555556
1,1,Friday,activity_82,41.48888889
1,1,Friday,activity_83,46.62222222
1,1,Friday,activity_84,38.26666667
1,1,Friday,activity_85,23.35555556
1,1,Friday,activity_86,68.68888889
1,1,Friday,activity_87,44.04444444
1,1,Friday,activity_88,33.82222222
1,1,Friday,activity_89,21.31111111
1,1,Friday,activity_90,37.08888889
1,1,Friday,activity_91,46.8
1,1,Friday,activity_92,46.86666667
1,1,Friday,activity_93,39.77777778
1,1,Friday,activity_94,26.84444444
1,1,Friday,activity_95,22.66666667
1,1,Friday,activity_96,36.31111111
1,1,Friday,activity_97,33.73333333
1,1,Friday,activity_98,66.95555556
1,1,Friday,activity_99,47.86666667
1,1,Friday,activity_100,38.48888889
1,1,Friday,activity_101,34.73333333
1,1,Friday,activity_102,52.46666667
1,1,Friday,activity_103,24.86666667
1,1,Friday,activity_104,18.8
1,1,Friday,activity_105,23.75555556
1,1,Friday,activity_106,32.6
1,1,Friday,activity_107,2.844444444
1,1,Friday,activity_108,11.68888889
1,1,Friday,activity_109,42.53333333
1,1,Friday,activity_110,34.08888889
1,1,Friday,activity_111,31.64444444
1,1,Friday,activity_112,44.4
1,1,Friday,activity_113,36.66666667
1,1,Friday,activity_114,14.13333333
1,1,Friday,activity_115,20.82222222
1,1,Friday,activity_116,10.95555556
1,1,Friday,activity_117,26.2
1,1,Friday,activity_118,18.6
1,1,Friday,activity_119,39.53333333
1,1,Friday,activity_120,11.17777778
1,1,Friday,activity_121,34.02222222
1,1,Friday,activity_122,39.08888889
1,1,Friday,activity_123,46.8
1,1,Friday,activity_124,44.2
1,1,Friday,activity_125,40.37777778
1,1,Friday,activity_126,40.88888889
1,1,Friday,activity_127,38.77777778
1,1,Friday,activity_128,19.84444444
1,1,Friday,activity_129,13.51111111
1,1,Friday,activity_130,22.46666667
1,1,Friday,activity_131,18.42222222
1,1,Friday,activity_132,19.73333333
1,1,Friday,activity_133,9.444444444
1,1,Friday,activity_134,20.06666667
